data,dt,ts
"{'location': 'US', 'confirmed': 3363056, 'deaths': 135605, 'recovered': 1031939, 'active': 2253244}",07-14-2020,1594684800
"{'location': 'Brazil', 'confirmed': 1884967, 'deaths': 72833, 'recovered': 1291251, 'active': 520883}",07-14-2020,1594684800
"{'location': 'India', 'confirmed': 906752, 'deaths': 23727, 'recovered': 571460, 'active': 311565}",07-14-2020,1594684800
"{'location': 'Russia', 'confirmed': 732547, 'deaths': 11422, 'recovered': 503168, 'active': 217957}",07-14-2020,1594684800
"{'location': 'Peru', 'confirmed': 330123, 'deaths': 12054, 'recovered': 221008, 'active': 97061}",07-14-2020,1594684800
"{'location': 'Chile', 'confirmed': 317657, 'deaths': 7024, 'recovered': 286556, 'active': 24077}",07-14-2020,1594684800
"{'location': 'Mexico', 'confirmed': 304435, 'deaths': 35491, 'recovered': 240101, 'active': 28843}",07-14-2020,1594684800
"{'location': 'United Kingdom', 'confirmed': 291691, 'deaths': 44915, 'recovered': 1384, 'active': 245392}",07-14-2020,1594684800
"{'location': 'South Africa', 'confirmed': 287796, 'deaths': 4172, 'recovered': 138241, 'active': 145383}",07-14-2020,1594684800
"{'location': 'Iran', 'confirmed': 259652, 'deaths': 13032, 'recovered': 222539, 'active': 24081}",07-14-2020,1594684800
"{'location': 'Spain', 'confirmed': 255953, 'deaths': 28406, 'recovered': 150376, 'active': 77172}",07-14-2020,1594684800
"{'location': 'Pakistan', 'confirmed': 253604, 'deaths': 5320, 'recovered': 170656, 'active': 77628}",07-14-2020,1594684800
"{'location': 'Italy', 'confirmed': 243230, 'deaths': 34967, 'recovered': 195106, 'active': 13157}",07-14-2020,1594684800
"{'location': 'Saudi Arabia', 'confirmed': 235111, 'deaths': 2243, 'recovered': 169842, 'active': 63026}",07-14-2020,1594684800
"{'location': 'Turkey', 'confirmed': 214001, 'deaths': 5382, 'recovered': 195671, 'active': 12948}",07-14-2020,1594684800
"{'location': 'France', 'confirmed': 209640, 'deaths': 30032, 'recovered': 78722, 'active': 100886}",07-14-2020,1594684800
"{'location': 'Germany', 'confirmed': 200180, 'deaths': 9074, 'recovered': 185100, 'active': 6006}",07-14-2020,1594684800
"{'location': 'Bangladesh', 'confirmed': 186894, 'deaths': 2391, 'recovered': 98317, 'active': 86186}",07-14-2020,1594684800
"{'location': 'Colombia', 'confirmed': 150445, 'deaths': 5634, 'recovered': 63451, 'active': 81360}",07-14-2020,1594684800
"{'location': 'Canada', 'confirmed': 109984, 'deaths': 8836, 'recovered': 73381, 'active': 27768}",07-14-2020,1594684800
"{'location': 'Qatar', 'confirmed': 104016, 'deaths': 149, 'recovered': 100627, 'active': 3240}",07-14-2020,1594684800
"{'location': 'Argentina', 'confirmed': 103265, 'deaths': 1903, 'recovered': 44173, 'active': 57189}",07-14-2020,1594684800
"{'location': 'China', 'confirmed': 85117, 'deaths': 4641, 'recovered': 79907, 'active': 569}",07-14-2020,1594684800
"{'location': 'Egypt', 'confirmed': 83001, 'deaths': 3935, 'recovered': 24975, 'active': 54091}",07-14-2020,1594684800
"{'location': 'Iraq', 'confirmed': 79735, 'deaths': 3250, 'recovered': 46998, 'active': 29487}",07-14-2020,1594684800
"{'location': 'Indonesia', 'confirmed': 76981, 'deaths': 3656, 'recovered': 36689, 'active': 36636}",07-14-2020,1594684800
"{'location': 'Sweden', 'confirmed': 75826, 'deaths': 5536, 'recovered': 0, 'active': 70290}",07-14-2020,1594684800
"{'location': 'Ecuador', 'confirmed': 68459, 'deaths': 5063, 'recovered': 30369, 'active': 33027}",07-14-2020,1594684800
"{'location': 'Belarus', 'confirmed': 65114, 'deaths': 468, 'recovered': 55492, 'active': 9154}",07-14-2020,1594684800
"{'location': 'Belgium', 'confirmed': 62707, 'deaths': 9782, 'recovered': 17196, 'active': 35729}",07-14-2020,1594684800
"{'location': 'Kazakhstan', 'confirmed': 61755, 'deaths': 375, 'recovered': 35911, 'active': 25469}",07-14-2020,1594684800
"{'location': 'Oman', 'confirmed': 58179, 'deaths': 259, 'recovered': 37257, 'active': 20663}",07-14-2020,1594684800
"{'location': 'Philippines', 'confirmed': 57006, 'deaths': 1599, 'recovered': 20371, 'active': 35036}",07-14-2020,1594684800
"{'location': 'Kuwait', 'confirmed': 55508, 'deaths': 393, 'recovered': 45356, 'active': 9759}",07-14-2020,1594684800
"{'location': 'Ukraine', 'confirmed': 55285, 'deaths': 1415, 'recovered': 27356, 'active': 26514}",07-14-2020,1594684800
"{'location': 'United Arab Emirates', 'confirmed': 55198, 'deaths': 334, 'recovered': 45513, 'active': 9351}",07-14-2020,1594684800
"{'location': 'Netherlands', 'confirmed': 51308, 'deaths': 6156, 'recovered': 193, 'active': 44959}",07-14-2020,1594684800
"{'location': 'Bolivia', 'confirmed': 49250, 'deaths': 1866, 'recovered': 15294, 'active': 32090}",07-14-2020,1594684800
"{'location': 'Panama', 'confirmed': 47173, 'deaths': 932, 'recovered': 23919, 'active': 22322}",07-14-2020,1594684800
"{'location': 'Portugal', 'confirmed': 46818, 'deaths': 1662, 'recovered': 31065, 'active': 14091}",07-14-2020,1594684800
"{'location': 'Singapore', 'confirmed': 46283, 'deaths': 26, 'recovered': 42541, 'active': 3716}",07-14-2020,1594684800
"{'location': 'Dominican Republic', 'confirmed': 45506, 'deaths': 903, 'recovered': 22441, 'active': 22162}",07-14-2020,1594684800
"{'location': 'Israel', 'confirmed': 40632, 'deaths': 365, 'recovered': 19395, 'active': 20872}",07-14-2020,1594684800
"{'location': 'Poland', 'confirmed': 38190, 'deaths': 1576, 'recovered': 27515, 'active': 9099}",07-14-2020,1594684800
"{'location': 'Afghanistan', 'confirmed': 34455, 'deaths': 1012, 'recovered': 21254, 'active': 12189}",07-14-2020,1594684800
"{'location': 'Bahrain', 'confirmed': 33476, 'deaths': 109, 'recovered': 29099, 'active': 4268}",07-14-2020,1594684800
"{'location': 'Nigeria', 'confirmed': 33153, 'deaths': 744, 'recovered': 13671, 'active': 18738}",07-14-2020,1594684800
"{'location': 'Romania', 'confirmed': 32948, 'deaths': 1901, 'recovered': 21692, 'active': 9355}",07-14-2020,1594684800
"{'location': 'Switzerland', 'confirmed': 32946, 'deaths': 1968, 'recovered': 29600, 'active': 1378}",07-14-2020,1594684800
"{'location': 'Armenia', 'confirmed': 32151, 'deaths': 573, 'recovered': 19865, 'active': 11713}",07-14-2020,1594684800
"{'location': 'Guatemala', 'confirmed': 29742, 'deaths': 1244, 'recovered': 4321, 'active': 24177}",07-14-2020,1594684800
"{'location': 'Honduras', 'confirmed': 28579, 'deaths': 789, 'recovered': 3123, 'active': 24667}",07-14-2020,1594684800
"{'location': 'Ireland', 'confirmed': 25638, 'deaths': 1746, 'recovered': 23364, 'active': 528}",07-14-2020,1594684800
"{'location': 'Ghana', 'confirmed': 24988, 'deaths': 139, 'recovered': 21067, 'active': 3782}",07-14-2020,1594684800
"{'location': 'Azerbaijan', 'confirmed': 24570, 'deaths': 313, 'recovered': 15640, 'active': 8617}",07-14-2020,1594684800
"{'location': 'Japan', 'confirmed': 22125, 'deaths': 984, 'recovered': 18058, 'active': 3083}",07-14-2020,1594684800
"{'location': 'Algeria', 'confirmed': 19689, 'deaths': 1018, 'recovered': 14019, 'active': 4652}",07-14-2020,1594684800
"{'location': 'Moldova', 'confirmed': 19439, 'deaths': 649, 'recovered': 12793, 'active': 5997}",07-14-2020,1594684800
